ClassName,AttackerName,ActiveTime
CommandPattern.Idle,1pPlayer,0.04
CommandPattern.Idle,2pPlayer,0.04
CommandPattern.Idle,1pPlayer,0.06
CommandPattern.Idle,2pPlayer,0.06
CommandPattern.Idle,1pPlayer,0.08
CommandPattern.Idle,2pPlayer,0.08
CommandPattern.Idle,1pPlayer,0.09999999
CommandPattern.Idle,2pPlayer,0.09999999
CommandPattern.Idle,1pPlayer,0.12
CommandPattern.Idle,2pPlayer,0.12
CommandPattern.Idle,1pPlayer,0.14
CommandPattern.Idle,2pPlayer,0.14
CommandPattern.Idle,1pPlayer,0.16
CommandPattern.Idle,2pPlayer,0.16
CommandPattern.Idle,1pPlayer,0.18
CommandPattern.Idle,2pPlayer,0.18
CommandPattern.Idle,1pPlayer,0.2
CommandPattern.Idle,2pPlayer,0.2
CommandPattern.Idle,1pPlayer,0.22
CommandPattern.Idle,2pPlayer,0.22
CommandPattern.Idle,1pPlayer,0.24
CommandPattern.Idle,2pPlayer,0.24
CommandPattern.Idle,1pPlayer,0.26
CommandPattern.Idle,2pPlayer,0.26
CommandPattern.Idle,1pPlayer,0.28
CommandPattern.Idle,2pPlayer,0.28
CommandPattern.Idle,1pPlayer,0.3
CommandPattern.Idle,2pPlayer,0.3
CommandPattern.Idle,1pPlayer,0.32
CommandPattern.Idle,2pPlayer,0.32
CommandPattern.Idle,1pPlayer,0.34
CommandPattern.Idle,2pPlayer,0.34
CommandPattern.Idle,1pPlayer,0.36
CommandPattern.Idle,2pPlayer,0.36
CommandPattern.Idle,1pPlayer,0.38
CommandPattern.Idle,2pPlayer,0.38
CommandPattern.Idle,1pPlayer,0.4
CommandPattern.Idle,2pPlayer,0.4
CommandPattern.Idle,1pPlayer,0.42
CommandPattern.Idle,2pPlayer,0.42
CommandPattern.Idle,1pPlayer,0.4400001
CommandPattern.Idle,2pPlayer,0.4400001
CommandPattern.Idle,1pPlayer,0.4600001
CommandPattern.Idle,2pPlayer,0.4600001
CommandPattern.Idle,1pPlayer,0.4800001
CommandPattern.Idle,2pPlayer,0.4800001
CommandPattern.Idle,1pPlayer,0.5000001
CommandPattern.Idle,2pPlayer,0.5000001
CommandPattern.Idle,1pPlayer,0.52
CommandPattern.Idle,2pPlayer,0.52
CommandPattern.Idle,1pPlayer,0.54
CommandPattern.Idle,2pPlayer,0.54
CommandPattern.Idle,1pPlayer,0.56
CommandPattern.Idle,2pPlayer,0.56
CommandPattern.Idle,1pPlayer,0.58
CommandPattern.Idle,2pPlayer,0.58
CommandPattern.Idle,1pPlayer,0.6
CommandPattern.Idle,2pPlayer,0.6
